danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
0.584,0.889,-5.941,0.0343,0.0462,0.828,0.309,0.464,126.04,199907,6,5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit
0.665,0.662,-6.874,0.271,0.171,0.0,0.0831,0.381,149.976,238213,4,0pQr5WsobmdZHnuObT0sc2,Astronaut
0.468,0.627,-5.085,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,212107,4,698ItKASDavgwZ3WjaWjtz,Faded
0.675,0.868,-6.36,0.0392,0.00107,0.715,0.374,0.0376,128.007,304229,6,0A9mHc7oYUoCECqByV8cQR,Animals
0.479,0.545,-7.346,0.0688,0.365,0.0,0.0963,0.244,74.897,252733,5,4bzBPrGYD3fQfAadLgIiwT,Let Her Go
0.65,0.946,-5.326,0.0981,0.223,0.0,0.979,0.669,96.033,170493,7,29vem0DsWK4224LQyxcmA5,Ai Se Eu Te Pego
0.773,0.849,-8.345,0.0587,0.057,0.0103,0.397,0.913,119.981,192227,7,00vk0sEfb6mr2ehwSw0Uhn,Don't Be So Shy - Filatov & Karas Remix
0.885,0.508,-6.444,0.0518,0.244,0.0,0.114,0.846,102.071,191373,2,0Wq6whEjKeAAUi4nEim1DA,Nur noch kurz die Welt retten
0.772,0.685,-6.849,0.0696,0.019,8.96e-05,0.131,0.501,130.039,283400,0,2iJuuzV8P9Yz0VSurttIV5,Scream & Shout
0.727,0.937,-2.871,0.286,0.00417,0.0,0.091,0.749,132.067,219493,2,03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일)
0.616,0.69,-5.749,0.0411,0.529,0.0,0.117,0.452,82.0,201729,0,1ejlaQBxPJ0P27FXJGMi3W,Ich will nur dass du weißt - Radio Edit
0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.43,233720,1,50kpGaPAhYJ3sGmk6vplg0,Love Yourself
0.799,0.586,-6.735,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,2,3s4U7OHV7gnj42VV72eSZ6,Rather Be (feat. Jess Glynne)
0.487,0.666,-6.898,0.058,0.0378,2.71e-06,0.101,0.67,169.997,237933,4,2TSoLv5tMkqikfpM5irrqZ,Still
0.548,0.723,-6.002,0.0375,0.0969,1.28e-05,0.337,0.499,125.088,179960,7,4zLBcDtvYNVtF9fnG6lme3,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix
0.574,0.52,-8.012,0.0445,0.0103,0.0,0.133,0.454,132.878,204360,0,69kCVBamC48sizKB1qNQWE,Herz über Kopf
0.448,0.784,-3.686,0.0625,0.0999,0.000108,0.668,0.237,136.239,186813,7,62yJjFtgkhUrXktIoSjgP2,Radioactive
0.788,0.649,-9.363,0.0589,0.0507,1.94e-05,0.315,0.387,126.004,209953,0,5NZlsLgfdg8HlP8RaXPIeP,Unter meiner Haut - Radio Mix
0.608,0.896,-5.864,0.0356,0.00562,5.89e-05,0.172,0.504,128.031,191582,0,0GBdCrn4tQ4sxiaXHV03MP,Hello - Radio Edit
0.537,0.731,-6.017,0.036,0.00571,0.0022,0.103,0.298,137.954,210347,0,2TABt0nj3WNPXbka7nzwIt,Hollywood Hills
0.489,0.597,-6.633,0.0292,0.27,0.0,0.105,0.323,95.013,253520,0,1bIVDJC6imJNGSExMwlxy3,Love Me Like You Do
0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,245040,0,0TDLuuLlV54CkRRUOahJb4,Titanium (feat. Sia)
0.553,0.314,-9.624,0.0272,0.763,1.98e-06,0.111,0.224,112.067,268747,5,6GyBgO7IGH7nBdhbogEYnT,Auf anderen Wegen
0.592,0.8,-4.931,0.215,0.0561,2.01e-06,0.0775,0.728,89.972,224813,2,378iszndTZAR4dH8kwsLC6,Cheap Thrills (feat. Sean Paul)
0.775,0.76,-4.847,0.126,0.00573,0.0,0.341,0.766,124.977,195192,7,5QIG1kl6klZIy0Lu67XNYJ,Welcome to St. Tropez - DJ Antoine vs. Mad Mark Radio Edit
0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,194088,1,2Fxmhks0bxGSBdJ92vM42m,bad guy
0.413,0.42,-6.444,0.0416,0.588,6.39e-05,0.11,0.185,84.126,172724,5,5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me
0.825,0.668,-6.329,0.0579,0.223,6.47e-05,0.167,0.534,118.989,215187,2,5bGG1abhVIUm6EAa36ipRX,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit]
0.376,0.695,-4.782,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,5yVIlYEHZxQVLyInCdldoS,Impossible
0.539,0.533,-7.897,0.347,0.0824,0.0,0.129,0.646,120.054,190187,1,6oHDvarQSp0mf5AD1SyNH0,Lieblingsmensch
0.285,0.462,-6.166,0.0291,0.428,5.61e-06,0.122,0.0923,142.365,314720,5,4hrAKlxfblnG7llBEEX7TR,Run
0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360,5,3JvKfv6T31zO0ini8iNItO,Another Love
0.366,0.532,-6.054,0.034,0.00718,3.79e-06,0.109,0.141,88.05,218546,0,2xtnnO9bHKXEmsfetO3ldK,Wie schön du bist
0.773,0.623,-6.173,0.0377,0.22,0.0,0.389,0.714,129.963,208280,7,4ZPXuHp219ujq6QJ9oqteR,Chöre
0.794,0.811,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413,2,2Foc5Q5nqNiosCNqttzHof,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]
0.336,0.627,-7.463,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,4,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You
0.645,0.722,-4.574,0.0291,0.32,0.0,0.171,0.407,92.014,227520,0,2ZoO0uLQRp2WhTlyIH8PJf,Lieder
0.733,0.65,-3.539,0.0315,0.0703,6.59e-05,0.0829,0.348,110.003,209160,0,0a9npeEQIad1Wr4H1RsLPU,Habits (Stay High)
0.87,0.706,-5.769,0.0417,0.56,0.0,0.104,0.953,122.98,225932,2,7nuBU1HCcOwG5f1orN4ByW,A Night Like This
0.646,0.741,-4.973,0.034,0.0275,0.0,0.312,0.571,123.077,203000,7,6h5PAsRni4IRlxWr6uDPTP,More Than You Know
